"DFU","Period","Demand","Opening.Inventories","Supply.Plan","Min.Stocks.Coverage","Max.Stocks.Coverage"
"Item 000049",2022-12-04,266,0,0,6,8
"Item 000050",2022-12-04,740,0,0,6,8
"Item 000001",2022-12-11,837,0,0,4,8
"Item 000002",2022-12-11,28,0,0,4,6
"Item 000003",2022-12-11,72,0,0,4,12
"Item 000004",2022-12-11,169,0,0,6,6
"Item 000005",2022-12-11,69,0,0,4,12
"Item 000006",2022-12-11,702,0,0,6,6
"Item 000007",2022-12-11,28,0,0,4,8
"Item 000008",2022-12-11,2376,0,0,6,10
"Item 000009",2022-12-11,72,0,0,4,12
"Item 000010",2022-12-11,123,0,0,4,12
"Item 000011",2022-12-11,218,0,0,4,8
"Item 000012",2022-12-11,173,0,0,4,12
"Item 000013",2022-12-11,1318,0,0,6,10
"Item 000014",2022-12-11,86,0,0,6,10
"Item 000015",2022-12-11,106,0,0,6,12
"Item 000016",2022-12-11,1635,0,0,6,10
"Item 000017",2022-12-11,82,0,294,4,12
"Item 000018",2022-12-11,477,0,0,6,8
"Item 000019",2022-12-11,50,0,0,4,26
"Item 000020",2022-12-11,787,0,0,6,10
"Item 000021",2022-12-11,198,0,0,4,12
"Item 000022",2022-12-11,68,0,0,6,12
"Item 000023",2022-12-11,85,0,0,6,26
"Item 000024",2022-12-11,57,0,0,6,26
"Item 000025",2022-12-11,22,0,0,4,12
"Item 000026",2022-12-11,614,0,0,4,8
"Item 000027",2022-12-11,342,0,0,4,8
"Item 000028",2022-12-11,2710,0,0,6,10
"Item 000029",2022-12-11,838,0,0,4,12
"Item 000030",2022-12-11,536,0,768,4,12
"Item 000031",2022-12-11,614,0,0,6,8
"Item 000032",2022-12-11,503,0,0,6,8
"Item 000033",2022-12-11,646,0,0,6,8
"Item 000034",2022-12-11,968,0,0,6,8
"Item 000035",2022-12-11,662,0,0,6,8
"Item 000036",2022-12-11,783,0,0,6,8
"Item 000037",2022-12-11,715,0,0,6,8
"Item 000038",2022-12-11,521,0,0,6,8
"Item 000039",2022-12-11,582,0,0,6,8
"Item 000040",2022-12-11,553,0,0,6,8
"Item 000041",2022-12-11,972,0,0,6,8
"Item 000042",2022-12-11,888,0,3212,6,8
"Item 000043",2022-12-11,824,0,0,6,8
"Item 000044",2022-12-11,189,0,0,6,8
"Item 000045",2022-12-11,588,0,0,6,8
"Item 000046",2022-12-11,741,0,0,6,8
"Item 000047",2022-12-11,545,0,0,6,8
"Item 000048",2022-12-11,310,0,0,6,8
"Item 000049",2022-12-11,266,0,0,6,8
"Item 000050",2022-12-11,535,0,587,6,8
"Item 000001",2022-12-18,837,0,0,4,8
"Item 000002",2022-12-18,28,0,0,4,6
"Item 000003",2022-12-18,72,0,0,4,12
"Item 000004",2022-12-18,169,0,0,6,6
"Item 000005",2022-12-18,69,0,0,4,12
"Item 000006",2022-12-18,697,0,0,6,6
"Item 000007",2022-12-18,28,0,0,4,8
"Item 000008",2022-12-18,2376,0,0,6,10
"Item 000009",2022-12-18,83,0,0,4,12
"Item 000010",2022-12-18,123,0,0,4,12
"Item 000011",2022-12-18,218,0,0,4,8
"Item 000012",2022-12-18,173,0,0,4,12
"Item 000013",2022-12-18,1318,0,0,6,10
"Item 000014",2022-12-18,86,0,0,6,10
"Item 000015",2022-12-18,106,0,0,6,12
"Item 000016",2022-12-18,1635,0,0,6,10
"Item 000017",2022-12-18,82,0,0,4,12
"Item 000018",2022-12-18,477,0,0,6,8
"Item 000019",2022-12-18,91,0,0,4,26
"Item 000020",2022-12-18,787,0,0,6,10
"Item 000021",2022-12-18,198,0,0,4,12
"Item 000022",2022-12-18,89,0,0,6,12
"Item 000023",2022-12-18,92,0,0,6,26
"Item 000024",2022-12-18,57,0,0,6,26
"Item 000025",2022-12-18,22,0,0,4,12
"Item 000026",2022-12-18,614,0,0,4,8
"Item 000027",2022-12-18,342,0,0,4,8
"Item 000028",2022-12-18,2710,0,0,6,10
"Item 000029",2022-12-18,986,0,0,4,12
"Item 000030",2022-12-18,517,0,0,4,12
"Item 000031",2022-12-18,558,0,0,6,8
"Item 000032",2022-12-18,789,0,0,6,8
"Item 000033",2022-12-18,750,0,0,6,8
"Item 000034",2022-12-18,559,0,0,6,8
"Item 000035",2022-12-18,702,0,0,6,8
"Item 000036",2022-12-18,649,0,0,6,8
"Item 000037",2022-12-18,714,0,0,6,8
"Item 000038",2022-12-18,848,0,0,6,8
"Item 000039",2022-12-18,827,0,0,6,8
"Item 000040",2022-12-18,791,0,0,6,8
"Item 000041",2022-12-18,574,0,0,6,8
"Item 000042",2022-12-18,576,0,0,6,8
"Item 000043",2022-12-18,880,0,0,6,8
"Item 000044",2022-12-18,189,0,0,6,8
"Item 000045",2022-12-18,626,0,0,6,8
"Item 000046",2022-12-18,594,0,0,6,8
"Item 000047",2022-12-18,835,0,0,6,8
"Item 000048",2022-12-18,310,0,0,6,8
"Item 000049",2022-12-18,266,0,0,6,8
"Item 000050",2022-12-18,906,0,0,6,8
"Item 000001",2022-12-25,479,0,0,4,8
"Item 000002",2022-12-25,16,0,0,4,6
"Item 000003",2022-12-25,42,0,0,4,12
"Item 000004",2022-12-25,97,0,0,6,6
"Item 000005",2022-12-25,40,0,0,4,12
"Item 000006",2022-12-25,919,0,0,6,6
"Item 000007",2022-12-25,16,0,0,4,8
"Item 000008",2022-12-25,1358,0,0,6,10
"Item 000009",2022-12-25,88,0,0,4,12
"Item 000010",2022-12-25,71,0,0,4,12
"Item 000011",2022-12-25,125,0,0,4,8
"Item 000012",2022-12-25,99,0,0,4,12
"Item 000013",2022-12-25,753,0,3927,6,10
"Item 000014",2022-12-25,49,0,0,6,10
"Item 000015",2022-12-25,61,0,0,6,12
"Item 000016",2022-12-25,934,0,0,6,10
"Item 000017",2022-12-25,47,0,0,4,12
"Item 000018",2022-12-25,273,0,0,6,8
"Item 000019",2022-12-25,60,0,0,4,26
"Item 000020",2022-12-25,450,0,0,6,10
"Item 000021",2022-12-25,114,0,0,4,12
"Item 000022",2022-12-25,66,0,0,6,12
"Item 000023",2022-12-25,60,0,0,6,26
"Item 000024",2022-12-25,33,0,0,6,26
"Item 000025",2022-12-25,13,0,0,4,12
"Item 000026",2022-12-25,351,0,0,4,8
"Item 000027",2022-12-25,196,0,0,4,8
"Item 000028",2022-12-25,1549,0,3024,6,10
"Item 000029",2022-12-25,917,0,0,4,12
"Item 000030",2022-12-25,567,0,0,4,12
"Item 000031",2022-12-25,561,0,0,6,8
"Item 000032",2022-12-25,982,0,0,6,8
"Item 000033",2022-12-25,744,0,0,6,8
"Item 000034",2022-12-25,925,0,0,6,8
"Item 000035",2022-12-25,929,0,0,6,8
"Item 000036",2022-12-25,850,0,377,6,8
"Item 000037",2022-12-25,558,0,0,6,8
"Item 000038",2022-12-25,946,0,0,6,8
"Item 000039",2022-12-25,674,0,0,6,8
"Item 000040",2022-12-25,848,0,0,6,8
"Item 000041",2022-12-25,909,0,0,6,8
"Item 000042",2022-12-25,967,0,0,6,8
"Item 000043",2022-12-25,541,0,2674,6,8
"Item 000044",2022-12-25,108,0,0,6,8
"Item 000045",2022-12-25,525,0,2079,6,8
"Item 000046",2022-12-25,759,0,0,6,8
"Item 000047",2022-12-25,544,0,0,6,8
"Item 000048",2022-12-25,177,0,0,6,8
"Item 000049",2022-12-25,152,0,0,6,8
"Item 000050",2022-12-25,960,0,0,6,8
"Item 000001",2023-01-01,69,0,0,4,8
"Item 000002",2023-01-01,26,0,0,4,6
"Item 000003",2023-01-01,243,0,0,4,12
"Item 000004",2023-01-01,96,0,0,6,6
"Item 000005",2023-01-01,31,0,0,4,12
"Item 000006",2023-01-01,816,0,0,6,6
"Item 000007",2023-01-01,81,0,0,4,8
"Item 000008",2023-01-01,744,0,0,6,10
"Item 000009",2023-01-01,66,0,0,4,12
"Item 000010",2023-01-01,271,0,0,4,12
"Item 000011",2023-01-01,243,0,0,4,8
"Item 000012",2023-01-01,64,0,0,4,12
"Item 000013",2023-01-01,644,0,0,6,10
"Item 000014",2023-01-01,86,0,0,6,10
"Item 000015",2023-01-01,60,0,0,6,12
"Item 000016",2023-01-01,934,0,0,6,10
"Item 000017",2023-01-01,5,0,0,4,12
"Item 000018",2023-01-01,587,0,0,6,8
"Item 000019",2023-01-01,63,0,0,4,26
"Item 000020",2023-01-01,638,0,0,6,10
"Item 000021",2023-01-01,322,0,1386,4,12
"Item 000022",2023-01-01,75,0,0,6,12
"Item 000023",2023-01-01,82,0,0,6,26
"Item 000024",2023-01-01,66,0,0,6,26
"Item 000025",2023-01-01,72,0,0,4,12
"Item 000026",2023-01-01,66,0,0,4,8
"Item 000027",2023-01-01,257,0,2053,4,8
"Item 000028",2023-01-01,1576,0,756,6,10
"Item 000029",2023-01-01,893,0,0,4,12
"Item 000030",2023-01-01,596,0,0,4,12
"Item 000031",2023-01-01,726,0,0,6,8
"Item 000032",2023-01-01,655,0,0,6,8
"Item 000033",2023-01-01,3961,0,20327,6,8
"Item 000034",2023-01-01,595,0,2,6,8
"Item 000035",2023-01-01,121,0,1584,6,8
"Item 000036",2023-01-01,36,0,23,6,8
"Item 000037",2023-01-01,827,0,0,6,8
"Item 000038",2023-01-01,1856,0,0,6,8
"Item 000039",2023-01-01,74,0,1040,6,8
"Item 000040",2023-01-01,71,0,980,6,8
"Item 000041",2023-01-01,1539,0,0,6,8
"Item 000042",2023-01-01,477,0,0,6,8
"Item 000043",2023-01-01,731,0,2871,6,8
"Item 000044",2023-01-01,528,0,0,6,8
"Item 000045",2023-01-01,25,0,0,6,8
"Item 000046",2023-01-01,238,0,0,6,8
"Item 000047",2023-01-01,136,0,0,6,8
"Item 000048",2023-01-01,1285,0,0,6,8
"Item 000049",2023-01-01,486,0,0,6,8
"Item 000050",2023-01-01,74,0,0,6,8
"Item 000001",2023-01-08,62,0,0,4,8
"Item 000002",2023-01-08,26,0,0,4,6
"Item 000003",2023-01-08,243,0,0,4,12
"Item 000004",2023-01-08,96,0,0,6,6
"Item 000005",2023-01-08,31,0,0,4,12
"Item 000006",2023-01-08,608,0,0,6,6
"Item 000007",2023-01-08,77,0,0,4,8
"Item 000008",2023-01-08,850,0,0,6,10
"Item 000009",2023-01-08,66,0,0,4,12
"Item 000010",2023-01-08,271,0,0,4,12
"Item 000011",2023-01-08,243,0,0,4,8
"Item 000012",2023-01-08,61,0,0,4,12
"Item 000013",2023-01-08,859,0,0,6,10
"Item 000014",2023-01-08,53,0,0,6,10
"Item 000015",2023-01-08,97,0,0,6,12
"Item 000016",2023-01-08,654,0,0,6,10
"Item 000017",2023-01-08,6,0,0,4,12
"Item 000018",2023-01-08,612,0,0,6,8
"Item 000019",2023-01-08,70,0,0,4,26
"Item 000020",2023-01-08,985,0,0,6,10
"Item 000021",2023-01-08,322,0,0,4,12
"Item 000022",2023-01-08,96,0,0,6,12
"Item 000023",2023-01-08,76,0,0,6,26
"Item 000024",2023-01-08,71,0,0,6,26
"Item 000025",2023-01-08,82,0,0,4,12
"Item 000026",2023-01-08,54,0,0,4,8
"Item 000027",2023-01-08,257,0,0,4,8
"Item 000028",2023-01-08,1576,0,0,6,10
"Item 000029",2023-01-08,802,0,0,4,12
"Item 000030",2023-01-08,611,0,0,4,12
"Item 000031",2023-01-08,938,0,527,6,8
"Item 000032",2023-01-08,757,0,0,6,8
"Item 000033",2023-01-08,3961,0,0,6,8
"Item 000034",2023-01-08,733,0,0,6,8
"Item 000035",2023-01-08,121,0,1174,6,8
"Item 000036",2023-01-08,36,0,182,6,8
"Item 000037",2023-01-08,984,0,0,6,8
"Item 000038",2023-01-08,1856,0,0,6,8
"Item 000039",2023-01-08,74,0,0,6,8
"Item 000040",2023-01-08,71,0,0,6,8
"Item 000041",2023-01-08,1539,0,7280,6,8
"Item 000042",2023-01-08,477,0,0,6,8
"Item 000043",2023-01-08,731,0,0,6,8
"Item 000044",2023-01-08,810,0,0,6,8
"Item 000045",2023-01-08,25,0,0,6,8
"Item 000046",2023-01-08,238,0,0,6,8
"Item 000047",2023-01-08,136,0,0,6,8
"Item 000048",2023-01-08,1285,0,0,6,8
"Item 000049",2023-01-08,486,0,6816,6,8
"Item 000050",2023-01-08,74,0,0,6,8
"Item 000001",2023-01-15,52,0,0,4,8
"Item 000002",2023-01-15,26,0,0,4,6
"Item 000003",2023-01-15,243,0,0,4,12
"Item 000004",2023-01-15,96,0,0,6,6
"Item 000005",2023-01-15,31,0,0,4,12
"Item 000006",2023-01-15,726,0,0,6,6
"Item 000007",2023-01-15,95,0,0,4,8
"Item 000008",2023-01-15,500,0,0,6,10
"Item 000009",2023-01-15,66,0,0,4,12
"Item 000010",2023-01-15,271,0,0,4,12
"Item 000011",2023-01-15,243,0,0,4,8
"Item 000012",2023-01-15,96,0,0,4,12
"Item 000013",2023-01-15,584,0,0,6,10
"Item 000014",2023-01-15,63,0,0,6,10
"Item 000015",2023-01-15,69,0,0,6,12
"Item 000016",2023-01-15,951,0,0,6,10
"Item 000017",2023-01-15,7,0,0,4,12
"Item 000018",2023-01-15,611,0,0,6,8
"Item 000019",2023-01-15,91,0,0,4,26
"Item 000020",2023-01-15,672,0,0,6,10
"Item 000021",2023-01-15,322,0,0,4,12
"Item 000022",2023-01-15,64,0,0,6,12
"Item 000023",2023-01-15,88,0,0,6,26
"Item 000024",2023-01-15,99,0,0,6,26
"Item 000025",2023-01-15,91,0,0,4,12
"Item 000026",2023-01-15,65,0,0,4,8
"Item 000027",2023-01-15,257,0,0,4,8
"Item 000028",2023-01-15,1576,0,3024,6,10
"Item 000029",2023-01-15,839,0,0,4,12
"Item 000030",2023-01-15,839,0,0,4,12
"Item 000031",2023-01-15,507,0,0,6,8
"Item 000032",2023-01-15,996,0,0,6,8
"Item 000033",2023-01-15,3961,0,0,6,8
"Item 000034",2023-01-15,909,0,0,6,8
"Item 000035",2023-01-15,121,0,0,6,8
"Item 000036",2023-01-15,36,0,0,6,8
"Item 000037",2023-01-15,779,0,0,6,8
"Item 000038",2023-01-15,1856,0,0,6,8
"Item 000039",2023-01-15,74,0,0,6,8
"Item 000040",2023-01-15,71,0,0,6,8
"Item 000041",2023-01-15,1539,0,0,6,8
"Item 000042",2023-01-15,477,0,0,6,8
"Item 000043",2023-01-15,731,0,0,6,8
"Item 000044",2023-01-15,807,0,0,6,8
"Item 000045",2023-01-15,25,0,0,6,8
"Item 000046",2023-01-15,238,0,0,6,8
"Item 000047",2023-01-15,136,0,0,6,8
"Item 000048",2023-01-15,1285,0,0,6,8
"Item 000049",2023-01-15,486,0,0,6,8
"Item 000050",2023-01-15,74,0,0,6,8
"Item 000001",2023-01-22,82,0,0,4,8
"Item 000002",2023-01-22,26,0,0,4,6
"Item 000003",2023-01-22,243,0,0,4,12
"Item 000004",2023-01-22,96,0,0,6,6
"Item 000005",2023-01-22,31,0,0,4,12
"Item 000006",2023-01-22,716,0,0,6,6
"Item 000007",2023-01-22,97,0,0,4,8
"Item 000008",2023-01-22,903,0,0,6,10
"Item 000009",2023-01-22,66,0,0,4,12
"Item 000010",2023-01-22,271,0,0,4,12
"Item 000011",2023-01-22,243,0,0,4,8
"Item 000012",2023-01-22,94,0,0,4,12
"Item 000013",2023-01-22,992,0,0,6,10
"Item 000014",2023-01-22,67,0,0,6,10
"Item 000015",2023-01-22,61,0,0,6,12
"Item 000016",2023-01-22,719,0,0,6,10
"Item 000017",2023-01-22,8,0,0,4,12
"Item 000018",2023-01-22,847,0,0,6,8
"Item 000019",2023-01-22,54,0,0,4,26
"Item 000020",2023-01-22,668,0,0,6,10
"Item 000021",2023-01-22,322,0,0,4,12
"Item 000022",2023-01-22,52,0,0,6,12
"Item 000023",2023-01-22,78,0,0,6,26
"Item 000024",2023-01-22,75,0,0,6,26
"Item 000025",2023-01-22,64,0,0,4,12
"Item 000026",2023-01-22,75,0,0,4,8
"Item 000027",2023-01-22,257,0,0,4,8
"Item 000028",2023-01-22,1576,0,0,6,10
"Item 000029",2023-01-22,577,0,0,4,12
"Item 000030",2023-01-22,721,0,0,4,12
"Item 000031",2023-01-22,755,0,0,6,8
"Item 000032",2023-01-22,867,0,0,6,8
"Item 000033",2023-01-22,3961,0,0,6,8
"Item 000034",2023-01-22,628,0,0,6,8
"Item 000035",2023-01-22,121,0,467,6,8
"Item 000036",2023-01-22,36,0,0,6,8
"Item 000037",2023-01-22,980,0,0,6,8
"Item 000038",2023-01-22,1856,0,3465,6,8
"Item 000039",2023-01-22,74,0,0,6,8
"Item 000040",2023-01-22,71,0,0,6,8
"Item 000041",2023-01-22,1539,0,0,6,8
"Item 000042",2023-01-22,477,0,2381,6,8
"Item 000043",2023-01-22,731,0,0,6,8
"Item 000044",2023-01-22,506,0,0,6,8
"Item 000045",2023-01-22,25,0,0,6,8
"Item 000046",2023-01-22,238,0,0,6,8
"Item 000047",2023-01-22,136,0,0,6,8
"Item 000048",2023-01-22,1285,0,0,6,8
"Item 000049",2023-01-22,486,0,0,6,8
"Item 000050",2023-01-22,74,0,0,6,8
"Item 000001",2023-01-29,107,0,0,4,8
"Item 000002",2023-01-29,0,0,0,4,6
"Item 000003",2023-01-29,90,0,0,4,12
"Item 000004",2023-01-29,42,0,0,6,6
"Item 000005",2023-01-29,18,0,0,4,12
"Item 000006",2023-01-29,532,0,0,6,6
"Item 000007",2023-01-29,63,0,0,4,8
"Item 000008",2023-01-29,802,0,0,6,10
"Item 000009",2023-01-29,0,0,0,4,12
"Item 000010",2023-01-29,77,0,0,4,12
"Item 000011",2023-01-29,132,0,0,4,8
"Item 000012",2023-01-29,81,0,0,4,12
"Item 000013",2023-01-29,705,0,0,6,10
"Item 000014",2023-01-29,86,0,0,6,10
"Item 000015",2023-01-29,80,0,0,6,12
"Item 000016",2023-01-29,802,0,0,6,10
"Item 000017",2023-01-29,9,0,0,4,12
"Item 000018",2023-01-29,944,0,0,6,8
"Item 000019",2023-01-29,77,0,0,4,26
"Item 000020",2023-01-29,819,0,0,6,10
"Item 000021",2023-01-29,128,0,0,4,12
"Item 000022",2023-01-29,79,0,0,6,12
"Item 000023",2023-01-29,90,0,0,6,26
"Item 000024",2023-01-29,50,0,0,6,26
"Item 000025",2023-01-29,65,0,0,4,12
"Item 000026",2023-01-29,74,0,0,4,8
"Item 000027",2023-01-29,114,0,0,4,8
"Item 000028",2023-01-29,541,0,1386,6,10
"Item 000029",2023-01-29,709,0,0,4,12
"Item 000030",2023-01-29,832,0,0,4,12
"Item 000031",2023-01-29,76,0,0,6,8
"Item 000032",2023-01-29,326,0,0,6,8
"Item 000033",2023-01-29,1981,0,0,6,8
"Item 000034",2023-01-29,25,0,0,6,8
"Item 000035",2023-01-29,86,0,0,6,8
"Item 000036",2023-01-29,30,0,0,6,8
"Item 000037",2023-01-29,513,0,0,6,8
"Item 000038",2023-01-29,789,0,3311,6,8
"Item 000039",2023-01-29,132,0,195,6,8
"Item 000040",2023-01-29,51,0,0,6,8
"Item 000041",2023-01-29,755,0,0,6,8
"Item 000042",2023-01-29,273,0,0,6,8
"Item 000043",2023-01-29,375,0,0,6,8
"Item 000044",2023-01-29,892,0,0,6,8
"Item 000045",2023-01-29,15,0,0,6,8
"Item 000046",2023-01-29,119,0,0,6,8
"Item 000047",2023-01-29,77,0,0,6,8
"Item 000048",2023-01-29,488,0,0,6,8
"Item 000049",2023-01-29,337,0,0,6,8
"Item 000050",2023-01-29,46,0,587,6,8
"Item 000001",2023-02-05,187,0,0,4,8
"Item 000002",2023-02-05,0,0,0,4,6
"Item 000003",2023-02-05,156,0,0,4,12
"Item 000004",2023-02-05,72,0,0,6,6
"Item 000005",2023-02-05,31,0,0,4,12
"Item 000006",2023-02-05,904,0,0,6,6
"Item 000007",2023-02-05,91,0,0,4,8
"Item 000008",2023-02-05,596,0,0,6,10
"Item 000009",2023-02-05,0,0,0,4,12
"Item 000010",2023-02-05,134,0,0,4,12
"Item 000011",2023-02-05,231,0,0,4,8
"Item 000012",2023-02-05,80,0,0,4,12
"Item 000013",2023-02-05,815,0,0,6,10
"Item 000014",2023-02-05,99,0,0,6,10
"Item 000015",2023-02-05,54,0,0,6,12
"Item 000016",2023-02-05,709,0,0,6,10
"Item 000017",2023-02-05,10,0,0,4,12
"Item 000018",2023-02-05,528,0,0,6,8
"Item 000019",2023-02-05,93,0,0,4,26
"Item 000020",2023-02-05,844,0,0,6,10
"Item 000021",2023-02-05,223,0,0,4,12
"Item 000022",2023-02-05,64,0,0,6,12
"Item 000023",2023-02-05,97,0,0,6,26
"Item 000024",2023-02-05,99,0,0,6,26
"Item 000025",2023-02-05,61,0,0,4,12
"Item 000026",2023-02-05,80,0,0,4,8
"Item 000027",2023-02-05,200,0,0,4,8
"Item 000028",2023-02-05,946,0,0,6,10
"Item 000029",2023-02-05,792,0,0,4,12
"Item 000030",2023-02-05,588,0,0,4,12
"Item 000031",2023-02-05,132,0,0,6,8
"Item 000032",2023-02-05,571,0,0,6,8
"Item 000033",2023-02-05,3466,0,0,6,8
"Item 000034",2023-02-05,44,0,0,6,8
"Item 000035",2023-02-05,150,0,0,6,8
"Item 000036",2023-02-05,52,0,0,6,8
"Item 000037",2023-02-05,810,0,0,6,8
"Item 000038",2023-02-05,1381,0,0,6,8
"Item 000039",2023-02-05,230,0,0,6,8
"Item 000040",2023-02-05,88,0,0,6,8
"Item 000041",2023-02-05,1321,0,3024,6,8
"Item 000042",2023-02-05,477,0,0,6,8
"Item 000043",2023-02-05,655,0,2871,6,8
"Item 000044",2023-02-05,501,0,0,6,8
"Item 000045",2023-02-05,25,0,0,6,8
"Item 000046",2023-02-05,208,0,0,6,8
"Item 000047",2023-02-05,134,0,0,6,8
"Item 000048",2023-02-05,853,0,0,6,8
"Item 000049",2023-02-05,589,0,0,6,8
"Item 000050",2023-02-05,81,0,0,6,8
"Item 000001",2023-02-12,187,0,0,4,8
"Item 000002",2023-02-12,0,0,0,4,6
"Item 000003",2023-02-12,156,0,0,4,12
"Item 000004",2023-02-12,72,0,0,6,6
"Item 000005",2023-02-12,31,0,0,4,12
"Item 000006",2023-02-12,978,0,0,6,6
"Item 000007",2023-02-12,97,0,0,4,8
"Item 000008",2023-02-12,683,0,0,6,10
"Item 000009",2023-02-12,0,0,0,4,12
"Item 000010",2023-02-12,134,0,0,4,12
"Item 000011",2023-02-12,231,0,576,4,8
"Item 000012",2023-02-12,76,0,0,4,12
"Item 000013",2023-02-12,790,0,0,6,10
"Item 000014",2023-02-12,50,0,0,6,10
"Item 000015",2023-02-12,70,0,0,6,12
"Item 000016",2023-02-12,733,0,0,6,10
"Item 000017",2023-02-12,11,0,0,4,12
"Item 000018",2023-02-12,935,0,0,6,8
"Item 000019",2023-02-12,70,0,0,4,26
"Item 000020",2023-02-12,619,0,0,6,10
"Item 000021",2023-02-12,223,0,0,4,12
"Item 000022",2023-02-12,93,0,0,6,12
"Item 000023",2023-02-12,57,0,0,6,26
"Item 000024",2023-02-12,57,0,0,6,26
"Item 000025",2023-02-12,88,0,0,4,12
"Item 000026",2023-02-12,100,0,0,4,8
"Item 000027",2023-02-12,200,0,456,4,8
"Item 000028",2023-02-12,946,0,0,6,10
"Item 000029",2023-02-12,526,0,0,4,12
"Item 000030",2023-02-12,714,0,0,4,12
"Item 000031",2023-02-12,132,0,0,6,8
"Item 000032",2023-02-12,571,0,6840,6,8
"Item 000033",2023-02-12,3466,0,15180,6,8
"Item 000034",2023-02-12,44,0,0,6,8
"Item 000035",2023-02-12,150,0,0,6,8
"Item 000036",2023-02-12,52,0,0,6,8
"Item 000037",2023-02-12,761,0,0,6,8
"Item 000038",2023-02-12,1381,0,0,6,8
"Item 000039",2023-02-12,230,0,0,6,8
"Item 000040",2023-02-12,88,0,0,6,8
"Item 000041",2023-02-12,1321,0,1344,6,8
"Item 000042",2023-02-12,477,0,0,6,8
"Item 000043",2023-02-12,655,0,2376,6,8
"Item 000044",2023-02-12,682,0,0,6,8
"Item 000045",2023-02-12,25,0,0,6,8
"Item 000046",2023-02-12,208,0,1800,6,8
"Item 000047",2023-02-12,134,0,0,6,8
"Item 000048",2023-02-12,853,0,0,6,8
"Item 000049",2023-02-12,589,0,0,6,8
"Item 000050",2023-02-12,81,0,0,6,8
"Item 000001",2023-02-19,187,0,0,4,8
"Item 000002",2023-02-19,0,0,0,4,6
"Item 000003",2023-02-19,156,0,0,4,12
"Item 000004",2023-02-19,72,0,0,6,6
"Item 000005",2023-02-19,31,0,0,4,12
"Item 000006",2023-02-19,698,0,0,6,6
"Item 000007",2023-02-19,65,0,0,4,8
"Item 000008",2023-02-19,864,0,0,6,10
"Item 000009",2023-02-19,0,0,0,4,12
"Item 000010",2023-02-19,134,0,0,4,12
"Item 000011",2023-02-19,231,0,0,4,8
"Item 000012",2023-02-19,96,0,0,4,12
"Item 000013",2023-02-19,752,0,0,6,10
"Item 000014",2023-02-19,92,0,0,6,10
"Item 000015",2023-02-19,67,0,0,6,12
"Item 000016",2023-02-19,817,0,0,6,10
"Item 000017",2023-02-19,12,0,0,4,12
"Item 000018",2023-02-19,523,0,0,6,8
"Item 000019",2023-02-19,93,0,0,4,26
"Item 000020",2023-02-19,905,0,0,6,10
"Item 000021",2023-02-19,223,0,0,4,12
"Item 000022",2023-02-19,88,0,0,6,12
"Item 000023",2023-02-19,64,0,0,6,26
"Item 000024",2023-02-19,68,0,0,6,26
"Item 000025",2023-02-19,58,0,0,4,12
"Item 000026",2023-02-19,81,0,0,4,8
"Item 000027",2023-02-19,200,0,0,4,8
"Item 000028",2023-02-19,946,0,0,6,10
"Item 000029",2023-02-19,806,0,0,4,12
"Item 000030",2023-02-19,901,0,1536,4,12
"Item 000031",2023-02-19,132,0,0,6,8
"Item 000032",2023-02-19,571,0,0,6,8
"Item 000033",2023-02-19,3466,0,0,6,8
"Item 000034",2023-02-19,44,0,0,6,8
"Item 000035",2023-02-19,150,0,0,6,8
"Item 000036",2023-02-19,52,0,0,6,8
"Item 000037",2023-02-19,832,0,0,6,8
"Item 000038",2023-02-19,1381,0,10087,6,8
"Item 000039",2023-02-19,230,0,0,6,8
"Item 000040",2023-02-19,88,0,0,6,8
"Item 000041",2023-02-19,1321,0,4144,6,8
"Item 000042",2023-02-19,477,0,0,6,8
"Item 000043",2023-02-19,655,0,0,6,8
"Item 000044",2023-02-19,844,0,0,6,8
"Item 000045",2023-02-19,25,0,0,6,8
"Item 000046",2023-02-19,208,0,0,6,8
"Item 000047",2023-02-19,134,0,0,6,8
"Item 000048",2023-02-19,853,0,0,6,8
"Item 000049",2023-02-19,589,0,0,6,8
"Item 000050",2023-02-19,81,0,0,6,8
"Item 000001",2023-02-26,81,0,0,4,8
"Item 000002",2023-02-26,16,0,0,4,6
"Item 000003",2023-02-26,150,0,0,4,12
"Item 000004",2023-02-26,72,0,0,6,6
"Item 000005",2023-02-26,31,0,0,4,12
"Item 000006",2023-02-26,990,0,0,6,6
"Item 000007",2023-02-26,92,0,0,4,8
"Item 000008",2023-02-26,768,0,0,6,10
"Item 000009",2023-02-26,38,0,0,4,12
"Item 000010",2023-02-26,96,0,0,4,12
"Item 000011",2023-02-26,99,0,0,4,8
"Item 000012",2023-02-26,68,0,0,4,12
"Item 000013",2023-02-26,715,0,0,6,10
"Item 000014",2023-02-26,97,0,0,6,10
"Item 000015",2023-02-26,83,0,0,6,12
"Item 000016",2023-02-26,705,0,0,6,10
"Item 000017",2023-02-26,13,0,0,4,12
"Item 000018",2023-02-26,914,0,0,6,8
"Item 000019",2023-02-26,70,0,0,4,26
"Item 000020",2023-02-26,562,0,0,6,10
"Item 000021",2023-02-26,223,0,1386,4,12
"Item 000022",2023-02-26,76,0,0,6,12
"Item 000023",2023-02-26,75,0,0,6,26
"Item 000024",2023-02-26,70,0,0,6,26
"Item 000025",2023-02-26,99,0,0,4,12
"Item 000026",2023-02-26,55,0,0,4,8
